_time,_value
2023-12-17T01:49:41.669856133Z,56
2023-12-17T01:49:51.780915322Z,30
2023-12-17T01:50:02.122612541Z,24
2023-12-17T01:50:12.432266083Z,30
2023-12-17T01:50:22.757448237Z,27
2023-12-17T01:50:32.886098723Z,30
2023-12-17T01:50:43.229067928Z,30
2023-12-17T01:50:53.533374367Z,55
2023-12-17T01:51:03.856185029Z,30
2023-12-17T01:51:14.233683463Z,23
2023-12-17T01:51:24.585856415Z,26
2023-12-17T01:51:34.708151036Z,30
2023-12-17T01:51:44.85942662Z,32
2023-12-17T01:51:55.174657747Z,22
2023-12-17T01:52:05.310753061Z,27
2023-12-17T01:52:15.608828205Z,37
2023-12-17T01:52:25.906967312Z,31
2023-12-17T01:52:36.103275327Z,25
2023-12-17T01:52:46.430280071Z,45
2023-12-17T01:52:56.533462543Z,42
2023-12-17T01:53:06.852442989Z,36
2023-12-17T01:53:17.043534621Z,25
2023-12-17T01:53:27.389478667Z,19
2023-12-17T01:53:37.727339584Z,31
2023-12-17T01:53:47.932934036Z,34
2023-12-17T01:53:58.2514222Z,26
2023-12-17T01:54:08.384034142Z,34
2023-12-17T01:54:18.717281765Z,33
2023-12-17T01:54:29.054670679Z,44
2023-12-17T01:54:39.367942836Z,41
2023-12-17T01:54:49.472999378Z,41
2023-12-17T01:54:59.772197471Z,47
2023-12-17T01:55:09.869288474Z,47
2023-12-17T01:55:20.199965703Z,40
2023-12-17T01:55:30.529897674Z,33
2023-12-17T01:55:40.851732666Z,46
2023-12-17T01:55:51.165814039Z,64
2023-12-17T01:56:01.478715709Z,63
2023-12-17T01:56:11.777820374Z,56
2023-12-17T01:56:21.891954256Z,73
2023-12-17T01:56:32.224770821Z,88
2023-12-17T01:56:42.523252154Z,78
2023-12-17T01:56:52.843078064Z,71
2023-12-17T01:57:03.203582237Z,64
2023-12-17T01:57:13.535591405Z,90
2023-12-17T01:57:23.835020748Z,76
2023-12-17T01:57:34.133451893Z,87
2023-12-17T01:57:44.485666749Z,86
2023-12-17T01:57:54.783735522Z,83
2023-12-17T01:58:05.047232479Z,77
2023-12-17T01:58:15.273114804Z,81
2023-12-17T01:58:25.601521573Z,98
2023-12-17T01:58:35.909286728Z,90
2023-12-17T01:58:46.238079596Z,77
2023-12-17T01:58:56.574098122Z,65
2023-12-17T01:59:06.869992916Z,68
2023-12-17T01:59:17.187626559Z,74
2023-12-17T01:59:27.502353825Z,75
2023-12-17T01:59:37.82436856Z,83
2023-12-17T01:59:48.115523929Z,94
2023-12-17T01:59:58.440233519Z,89
2023-12-17T02:00:08.729178565Z,102
2023-12-17T02:00:19.041913414Z,89
2023-12-17T02:00:29.367733923Z,97
2023-12-17T02:00:39.696341793Z,96
2023-12-17T02:00:50.007984512Z,81
2023-12-17T02:01:00.350281597Z,82
2023-12-17T02:01:10.686781826Z,66
2023-12-17T02:01:20.999462795Z,87
2023-12-17T02:01:31.294759174Z,94
2023-12-17T02:01:41.593240501Z,81
2023-12-17T02:01:51.892942068Z,99
2023-12-17T02:02:02.155171794Z,103
2023-12-17T02:02:12.483100939Z,100
2023-12-17T02:02:22.784684253Z,101
2023-12-17T02:02:33.083347241Z,103
2023-12-17T02:02:43.388631567Z,105
2023-12-17T02:02:53.698101397Z,85
2023-12-17T02:03:03.847424947Z,98
2023-12-17T02:03:14.182063974Z,88
2023-12-17T02:03:24.53474664Z,101
2023-12-17T02:03:34.863611929Z,102
2023-12-17T02:03:45.181239711Z,103
2023-12-17T02:03:55.498446949Z,102
2023-12-17T02:04:05.796350094Z,114
2023-12-17T02:04:16.136203601Z,97
2023-12-17T02:04:26.480382971Z,96
2023-12-17T02:04:36.797084622Z,101
2023-12-17T02:04:47.111886421Z,78
2023-12-17T02:04:57.454573197Z,83
2023-12-17T02:05:07.751812763Z,85
2023-12-17T02:05:18.084703018Z,109
2023-12-17T02:05:28.421938965Z,77
2023-12-17T02:05:38.537908834Z,86
2023-12-17T02:05:48.862343369Z,73
2023-12-17T02:05:59.165462649Z,82
2023-12-17T02:06:09.479703886Z,96
2023-12-17T02:06:19.812126306Z,99
2023-12-17T02:06:30.146972193Z,81
2023-12-17T02:06:40.450931751Z,93
2023-12-17T02:06:50.728431798Z,65
2023-12-17T02:07:01.050796528Z,84
2023-12-17T02:07:11.359284542Z,77
