,result,table,_start,_stop,_time,_value,_field,_measurement,backhaul_host
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:24.318190433Z,28.8,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:30.844856736Z,28.8,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:37.578882896Z,29.9,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:44.134000522Z,29.9,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:50.640780342Z,29.9,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:46:57.512374485Z,32.6,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:04.040089427Z,32.6,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:10.662904757Z,32.6,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:17.160016884Z,21.8,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:23.789149312Z,21.8,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:30.342896608Z,21.8,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:37.02684181Z,27.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:43.838182132Z,27.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:50.383764661Z,27.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:47:57.003968772Z,22.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:03.514207834Z,22.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:10.172173241Z,22.3,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:16.790716488Z,40.1,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:23.377684468Z,40.1,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:29.91847292Z,40.1,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:36.49357061Z,28.5,airtime,airtime,10.0.10.223
,,0,2023-04-19T10:03:09.551032699Z,2023-04-26T10:03:09.551032699Z,2023-04-24T11:48:43.037323748Z,28.5,airtime,airtime,10.0.10.223
