,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:06:02.44794464Z,10593950,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:07:01.510238777Z,9639812,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:08:01.563398434Z,10011605,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:09:01.615011291Z,10180456,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:10:01.679943217Z,9980070,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:11:01.734373922Z,10426195,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:12:01.795663247Z,10224845,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:13:01.847023931Z,10991153,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:14:01.907118971Z,10628527,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:15:01.965809406Z,10410696,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:16:02.022072819Z,9565797,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:17:02.078492556Z,9553242,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:18:02.146111044Z,10067164,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:19:02.197239042Z,10396586,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:20:02.249159113Z,9830332,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:21:02.305745443Z,9671032,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:22:02.364602771Z,9759447,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:23:02.417869127Z,9623848,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:24:02.474816327Z,10336880,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:25:01.526540909Z,10571624,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:26:01.591453331Z,10144118,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:27:01.652364477Z,10389602,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:28:01.710293437Z,9817949,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:29:01.761734957Z,9714289,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:30:01.824439938Z,9979399,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:31:01.881090345Z,9693333,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:32:01.946320549Z,9623633,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:33:02.000978741Z,9598710,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:34:02.051775173Z,9595268,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea

