,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:09:24.934151711Z,18293795,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:10:28.021647518Z,14630683,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:11:36.689177981Z,1073325535,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:12:39.736792597Z,12230903,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:13:43.799088616Z,1020830003,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:14:47.923664895Z,1021618314,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:15:51.000192392Z,20189999,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:16:55.09230682Z,1038556478,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:17:59.156202335Z,1040426947,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:19:02.222016574Z,15894544,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:20:06.640855306Z,1052061232,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:21:09.69995151Z,14972261,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:22:13.873009135Z,1046364912,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:23:37.970679798Z,1047665575,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:24:41.139699098Z,12104454,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:25:45.200633986Z,1054913722,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:26:52.847953587Z,13396691,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:27:56.126352066Z,13318774,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:29:00.530157129Z,1062027596,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:30:04.915070753Z,1073856057,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:31:10.639817444Z,1075489956,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:32:16.821145772Z,1053875153,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:33:20.947464685Z,1069934440,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T06:34:24.139918555Z,12803619,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa

